PC-1,PC-2,PC-3,class
5014.9059849574705,1456.863260354283,72.69712270227257,3
5601.383743047136,-2023.4500866187784,350.134612730818,3
5796.1354423415805,-3090.394851627199,490.5398952833341,3
5586.2045746930135,-2369.376085128222,356.2746460905152,3
5020.990791917305,339.60339040328586,-23.00751381063628,3
4518.7079827271045,4332.933908269609,-224.5633710408912,3
4316.35165654567,6424.687412971832,-148.20484596841038,3
5072.7854202395865,3953.961984987394,-141.51830550253118,3
5175.068764920117,1300.269736638947,-138.91194731871443,3
5089.394123967926,1920.3480255826305,-309.38766046645003,3
4933.576623118932,3642.517154947926,-201.39803496812792,3
4995.484059249027,4314.840562839694,-271.0976670522125,3
4855.935451649894,6114.391778527882,-95.51759712372863,3
4443.13181000259,7536.426877322707,109.8233886851572,3
3812.8501933384277,9463.810821931154,221.488323849332,3
3649.3410291862997,10246.538723549722,103.78984528357614,3
3683.01414275334,10278.526993210618,-201.99685230258018,3
1704.22474334898,8068.47784375676,124.65260759455857,3
222.95263670650726,3609.671227779966,-34.168015967302516,3
3809.4849325851683,2058.4205123048805,87.52945195502708,3
4245.698136622495,2094.338231834275,98.73789111246448,0
3522.45652422062,6014.383057685223,107.9267849568087,3
2927.5990136126734,8361.133097714337,93.51228071460316,3
2483.5959631669207,7954.750103216961,26.54787178063701,3
1689.5435736547397,5965.279342350157,-95.93261310314749,0
-1615.1008477854773,2710.9710177732677,-265.9458790649635,0
-2745.158645238173,2140.1580083343324,-15.460912765674946,0
-2901.2839011931,795.664826714443,-466.8956278701451,0
-4485.333425433734,-1236.108866540635,22.687038550654453,0
-3406.417712921699,-1047.7795217560395,459.79071020418695,0
-2631.176982174566,-1071.8220679035671,786.9479515535577,0
-1784.9873894749003,50.835043591544036,996.2888587536996,0
-2030.6544537273069,1841.640965404015,767.7889103109721,0
-2608.005173401893,2998.6992661229237,719.5344880560667,0
-1812.194656282047,3848.226813394469,866.1448204723562,0
1203.771773961571,5530.00226284725,1709.3840241631424,0
4783.94232744597,6372.915490551593,2808.689613061467,0
5791.597982078231,5914.066330501717,2807.2635988884845,0
4524.426765895492,5077.32182141906,1756.2371498178966,0
